Date,Time,Team,Opponent,Home,GoalsFor,GoalsAgainst,Outcome
10/08/2024,12:30,Sunderland,Cardiff,N,2,0,W
18/08/2024,12:00,Sunderland,Sheffield Weds,Y,4,0,W
24/08/2024,15:00,Sunderland,Burnley,Y,1,0,W
31/08/2024,15:00,Sunderland,Portsmouth,N,3,1,W
14/09/2024,15:00,Sunderland,Plymouth,N,2,3,L
21/09/2024,12:30,Sunderland,Middlesbrough,Y,1,0,W
28/09/2024,15:00,Sunderland,Watford,N,1,2,L
01/10/2024,19:45,Sunderland,Derby,Y,2,0,W
04/10/2024,20:00,Sunderland,Leeds,Y,2,2,D
20/10/2024,15:00,Sunderland,Hull,N,1,0,W
23/10/2024,19:45,Sunderland,luton,N,2,1,W
26/10/2024,15:00,Sunderland,Oxford,Y,2,0,W
02/11/2024,15:00,Sunderland,QPR,N,0,0,D
06/11/2024,20:00,Sunderland,Preston,N,0,0,D
09/11/2024,15:00,Sunderland,Coventry,Y,2,2,D
23/11/2024,15:00,Sunderland,Millwall,N,1,1,D
26/11/2024,20:00,Sunderland,West Brom,Y,0,0,D
29/11/2024,20:00,Sunderland,Sheffield United,N,0,1,L
07/12/2024,12:30,Sunderland,Stoke,Y,2,1,W
10/12/2024,19:45,Sunderland,Bristol City,Y,1,1,D
14/12/2024,15:00,Sunderland,Swansea,N,3,2,W
21/12/2024,15:00,Sunderland,Norwich,Y,2,1,W
26/12/2024,15:00,Sunderland,Blackburn,N,2,2,D
29/12/2024,15:00,Sunderland,Stoke,N,0,1,L
01/01/2025,20:00,Sunderland,Sheffield United,Y,2,1,W
05/01/2025,15:00,Sunderland,Portsmouth,Y,1,0,W
17/01/2025,20:00,Sunderland,Burnley,N,0,0,D
21/01/2025,19:45,Sunderland,Derby,N,1,0,W
25/01/2025,15:00,Sunderland,Plymouth,Y,2,2,D
03/02/2025,20:00,Sunderland,Middlesbrough,N,3,2,W
08/02/2025,12:30,Sunderland,Watford,Y,2,2,D
12/02/2025,19:45,Sunderland,Luton,Y,2,0,W
17/02/2025,20:00,Sunderland,Leeds,N,1,2,L
22/02/2025,12:30,Sunderland,Hull,Y,0,1,L
28/02/2025,20:00,Sunderland,Sheffield Weds,N,2,1,W
08/03/2025,15:00,Sunderland,Cardiff,Y,2,1,W
11/03/2025,19:45,Sunderland,Preston,Y,1,1,D
15/03/2025,15:00,Sunderland,Coventry,N,0,3,L
29/03/2025,15:00,Sunderland,Millwall,Y,1,0,W
05/04/2025,12:30,Sunderland,West Brom,N,1,0,W
08/04/2025,19:45,Sunderland,Norwich,N,0,0,D
12/04/2025,15:00,Sunderland,Swansea,Y,0,1,L
18/04/2025,15:00,Sunderland,Bristol City,N,1,2,L
21/04/2025,15:00,Sunderland,Blackburn,Y,0,1,L
26/04/2025,15:00,Sunderland,Oxford,N,0,2,L
03/05/2025,12:30,Sunderland,QPR,Y,0,1,L
09/08/2024,20:00,Sheffield United,Preston,N,2,0,W
17/08/2024,15:00,Sheffield United,QPR,Y,2,2,D
24/08/2024,15:00,Sheffield United,Norwich,N,1,1,D
01/09/2024,15:00,Sheffield United,Watford,Y,1,0,W
13/09/2024,20:00,Sheffield United,Hull,N,2,0,W
21/09/2024,15:00,Sheffield United,Derby,Y,1,0,W
28/09/2024,15:00,Sheffield United,Portsmouth,N,0,0,D
02/10/2024,19:45,Sheffield United,Swansea,Y,1,0,W
05/10/2024,15:00,Sheffield United,Luton,Y,2,0,W
18/10/2024,20:00,Sheffield United,Leeds,N,0,2,L
23/10/2024,20:00,Sheffield United,Middlesbrough,N,0,1,L
26/10/2024,15:00,Sheffield United,Stoke,Y,2,0,W
02/11/2024,12:30,Sheffield United,Blackburn,N,2,0,W
05/11/2024,19:45,Sheffield United,Bristol City,N,2,1,W
10/11/2024,12:30,Sheffield United,Sheffield Weds,Y,1,0,W
23/11/2024,12:30,Sheffield United,Coventry,N,2,2,D
26/11/2024,19:45,Sheffield United,Oxford,Y,3,0,W
29/11/2024,20:00,Sheffield United,Sunderland,Y,1,0,W
08/12/2024,15:00,Sheffield United,West Brom,N,2,2,D
11/12/2024,19:45,Sheffield United,Millwall,N,1,0,W
14/12/2024,15:00,Sheffield United,Plymouth,Y,2,0,W
21/12/2024,15:00,Sheffield United,Cardiff,N,2,0,W
26/12/2024,15:00,Sheffield United,Burnley,Y,0,2,L
29/12/2024,12:30,Sheffield United,West Brom,Y,1,1,D
01/01/2025,20:00,Sheffield United,Sunderland,N,1,2,L
04/01/2025,15:00,Sheffield United,Watford,N,2,1,W
18/01/2025,15:00,Sheffield United,Norwich,Y,2,0,W
21/01/2025,19:45,Sheffield United,Swansea,N,2,1,W
24/01/2025,20:00,Sheffield United,Hull,Y,0,3,L
01/02/2025,15:00,Sheffield United,Derby,N,1,0,W
08/02/2025,15:00,Sheffield United,Portsmouth,Y,2,1,W
12/02/2025,20:00,Sheffield United,Middlesbrough,Y,3,1,W
15/02/2025,15:00,Sheffield United,Luton,N,1,0,W
24/02/2025,20:00,Sheffield United,Leeds,Y,1,3,L
01/03/2025,15:00,Sheffield United,QPR,N,2,1,W
08/03/2025,15:00,Sheffield United,Preston,Y,1,0,W
11/03/2025,20:00,Sheffield United,Bristol City,Y,1,1,D
16/03/2025,12:30,Sheffield United,Sheffield Weds,N,1,0,W
28/03/2025,20:00,Sheffield United,Coventry,Y,3,1,W
05/04/2025,15:00,Sheffield United,Oxford,N,0,1,L
08/04/2025,19:45,Sheffield United,Millwall,Y,0,1,L
12/04/2025,12:30,Sheffield United,Plymouth,N,1,2,L
18/04/2025,17:30,Sheffield United,Cardiff,Y,2,0,W
21/04/2025,17:30,Sheffield United,Burnley,N,1,2,L
25/04/2025,20:00,Sheffield United,Stoke,N,2,0,W
03/05/2025,12:30,Sheffield United,Blackburn,Y,1,1,D